journal,publisher,impact_factor,issn,url
Journal of clinical psychopharmacology,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/16855475
The international journal of neuropsychopharmacology,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/16316486
The American journal of psychiatry,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/15741486
Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/12700713
The Journal of clinical psychiatry,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/12143910
The Journal of clinical psychiatry,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/11488363
The Journal of clinical psychiatry,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/11305707
The Journal of clinical psychiatry,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/7592502
Journal of child and adolescent psychopharmacology,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/21309696
American journal of medical genetics. Part A,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/19606472
The Journal of neuropsychiatry and clinical neurosciences,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/8369641
Journal of autism and developmental disorders,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/2745390
Neuropsychobiology,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/2682347
The American journal of psychiatry,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/22193531
Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/15602505
Psychopharmacology,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/25533997
"Cerebral cortex (New York, N.Y. : 1991)",Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/24451919
JAMA,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/31638682
Journal of autism and developmental disorders,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/16119478
No to hattatsu = Brain and development,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/12607287
Zhong nan da xue xue bao. Yi xue ban = Journal of Central South University. Medical sciences,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/30643068
Molecular psychiatry,Unknown,,,https://www.ncbi.nlm.nih.gov/pubmed/27752075
